Row,BlockNumber,TTD,Difficulty,UnixTimestamp
1,7124000,10428800,2,1656274263
2,7124720,10429785,2,1656285082
3,7125440,10430735,1,1656295908
4,7126160,10431697,1,1656306841
5,7126880,10432589,1,1656317672
6,7127600,10433461,1,1656328499
7,7128320,10434327,1,1656339354
8,7129040,10435201,1,1656350196
9,7129760,10436078,1,1656361032
10,7130480,10436965,1,1656371863
11,7131200,10437832,1,1656382689
12,7131920,10438708,1,1656393532
13,7132640,10439558,1,1656404412
14,7133360,10440443,1,1656415335
15,7134080,10441321,1,1656426187
16,7134800,10442184,1,1656437081
17,7135520,10443060,1,1656447909
18,7136240,10443907,1,1656459077
19,7136960,10444767,1,1656469921
20,7137680,10445649,1,1656480784
21,7138400,10446525,1,1656491644
22,7139120,10447405,1,1656502533
23,7139840,10448288,1,1656513440
24,7140560,10449150,1,1656524304
25,7141280,10450025,1,1656535165
26,7142000,10450881,1,1656546031
27,7142720,10451757,1,1656556856
28,7143440,10452721,1,1656567695
29,7144160,10453681,1,1656578555
30,7144880,10454619,1,1656589455
31,7145600,10455507,1,1656600403
32,7146320,10456538,2,1656611275
33,7147040,10457621,2,1656622139
34,7147760,10458734,1,1656632977
35,7148480,10459798,1,1656643805
36,7149200,10460862,1,1656654644
37,7149920,10461889,1,1656665496
38,7150640,10462918,1,1656676389
39,7151360,10463913,1,1656687224
40,7152080,10465017,1,1656698076
41,7152800,10466085,2,1656708917
42,7153520,10467180,2,1656719727
43,7154240,10468274,2,1656730541
44,7154960,10469329,2,1656741384
45,7155680,10470411,2,1656752194
46,7156400,10471437,1,1656763091
47,7157120,10472474,1,1656773929
48,7157840,10473520,1,1656784809
49,7158560,10474574,2,1656795659
50,7159280,10475660,1,1656806466
51,7160000,10476668,1,1656817289
52,7160720,10477609,1,1656828141
53,7161440,10478575,1,1656838961
54,7162160,10479541,1,1656849773
55,7162880,10480492,1,1656860600
56,7163600,10481451,1,1656871425
57,7164320,10482440,2,1656882284
58,7165040,10483436,2,1656893142
59,7165760,10484355,1,1656903975
60,7166480,10485289,1,1656914791
61,7167200,10486249,1,1656925624
62,7167920,10487218,2,1656936462
63,7168640,10488173,1,1656947285
64,7169360,10489126,2,1656958112
65,7170080,10490123,1,1656968994
66,7170800,10491138,2,1656979822
67,7171520,10492120,1,1656990688
68,7172240,10493069,1,1657001518
69,7172960,10494022,1,1657012659
70,7173680,10494973,1,1657023495
71,7174400,10495915,1,1657034345
72,7175120,10496926,1,1657045312
73,7175840,10498007,2,1657056163
74,7176560,10499076,2,1657066998
75,7177280,10500062,1,1657077894
76,7178000,10501050,2,1657088756
77,7178720,10502038,2,1657099620
78,7179440,10503066,1,1657110508
79,7180160,10504052,1,1657121360
80,7180880,10505112,2,1657132236
81,7181600,10506149,1,1657143077
82,7182320,10507183,2,1657153922
83,7183040,10508222,1,1657164764
84,7183760,10509255,1,1657175698
85,7184480,10510261,1,1657186534
86,7185200,10511301,2,1657197410
87,7185920,10512258,1,1657208225
88,7186640,10513256,1,1657219060
89,7187360,10514300,1,1657229947
90,7188080,10515353,2,1657240833
91,7188800,10516405,2,1657251713
92,7189520,10517436,1,1657262586
93,7190240,10518435,1,1657273453
94,7190960,10519429,2,1657284393
95,7191680,10520424,2,1657295232
96,7192400,10521465,2,1657306108
97,7193120,10522506,2,1657316995
98,7193840,10523577,1,1657327874
99,7194560,10524602,2,1657338735
100,7195280,10525579,1,1657349580
101,7196000,10526534,2,1657360414
102,7196720,10527512,1,1657371281
103,7197440,10528490,2,1657382142
104,7198160,10529502,1,1657393106
105,7198880,10530486,1,1657403949
106,7199600,10531510,1,1657414803
